"Probename","Match","Mismatch"
"Noccar","Noccar_1","mNoccar_1"
"Nocbre","Nocbre_1","mNocbre_1"
"Nocbre","Nocbre_2","mNocbre_2"
"Nocpau","Nocpau_1","mNocpau_1"
"Nocpse","Nocpse_1","mNocpse_1"
"Nocspe","Nocspe_1","mNocspe_1"
"Nocoti","Nocoti_2","mNocoti_2"
"Nocoti","Nocoti_2","mNocoti_2"
"Nocvac","Nocvac_1","mNocvac_1"
"Nocvac","Nocvac_2","mNocvac_2"
"Nocpseu7","Nocpseu7_1","mNocpseu7_1"
"Nocnov","Nocnov_1","mNocnov_1"
"Nocsal","Nocsal_1","mNocsal_1"
"Nocast","Nocast_1","mNocast_1"
"Nocbra","Nocbra_1","mNocbra_1"
"Nocbra","Nocbra_2","mNocbra_2"
"Nostra","Noctra_1","mNoctra_1"
"Nostra","Noctra_2","mNoctra_2"
"Nocardia","Nocardia_1.1","mNocardia_1.1"
"Nocardia","Nocardia_1.2","mNocardia_1.2"
"Nocardia","Nocardia_1.3","mNocardia_1.3"
"Nocardia","Nocardia_1.4","mNocardia_1.4"
"Rhoequ","Rhoequ_1","mRhoequ_1"
"Rhoequ","Rhoequ_2","mRhoequ_2"
"Rhoery","Rhoery_1","mRhoery_1"
"Rhofas","Rhofas_1","mRhofas_1"
"Rhofas","Rhofas_2","mRhofas_2"
"Rhodococcus","Rhodo_1.1","mRhodo_1.1"
"Rhodococcus","Rhodo_1.2","mRhodo_1.2"
"Rhodococcus","Rhodo_1.3","mRhodo_1.3"
"Rhocor","Rhocor_1","mRhocor_1"
"ActNZ2","ActNZ2_1","mActNZ2_1"
"ActNZ2","ActNZ2_2","mActNZ2_2"
"Noccor","Noccor_1","mNoccor_1"
"Noccor","Noccor_2","mNoccor_2"
"Skepin","Skepin_1","mSkepin_1"
"Skepin","Skepin_2.1","mSkepin_2.1"
"Gorama","Gorama_1","mGorama_1"
"Rhocop","Rhocop_1","mRhocop_1"
"Rhocop","Rhocop_2","mRhocop_2"
"Rhorho","Rhorho_1","mRhorho_1"
"Rhorub","Rhorub_1","mRhorub_1"
"Rhorub","Rhorub_2","mRhorub_2"
"Diemar","Diemar_1","mDiemar_1"
"Rhospe","Rhospe_2","mRhospe_2"
"Rhospe","Rhospe_3","mRhospe_3"
"Dietzia1","Dietzia_1.1","mDietzia_1.1"
"Dietzia1","Dietzia_1.2","mDietzia_1.2"
"Dietzia2","Dietzia_2.1","mDietzia_2.1"
"Dietzia2","Dietzia_2.2","mDietzia_2.2"
"Dietzia3","Dietzia_3.1","mDietzia_3.1"
"Dietzia3","Dietzia_3.2","mDietzia_3.2"
"Tsupau","Tsupau_1","mTsupau_1"
"Tsukamurella1","Tsumakurella_1.1","mTsumakurella_1.1"
"Tsukamurella1","Tsumakurella_1.2","mTsumakurella_1.2"
"Tsukamurella2","Tsumakurella_2.1","mTsumakurella_2.1"
"Tsukamurella2","Tsumakurella_2.2","mTsumakurella_2.2"
"Tsukamurella3","Tsumakurella_3.1","mTsumakurella_3.1"
"Tsukamurella3","Tsumakurella_3.2","mTsumakurella_3.2"
"Coryne","Coryne_1.1","mCoryne_1.1"
"Coryne","Coryne_1.2","mCoryne_1.2"
"Coryne","Coryne_1.3","mCoryne_1.3"
"unRhospe","unRhospe_2","munRhospe_2"
"unRhospe","unRhospe_3","munRhospe_3"
"Corynebact","Corynebact_1.1","mCorynebact_1.1"
"Corynebact","Corynebact_1.2","mCorynebact_1.2"
"Corynebact","Corynebact_1.3","mCorynebact_1.3"
"Corynebact","Corynebact_1.4","mCorynebact_1.4"
"Actinomadura sp.","Actspe","mActspe"
"Actinoma1","Actinoma_1.1","mActinoma_1.1"
"Actinoma1","Actinoma_1.2","mActinoma_1.2"
"Actinoma1","Actinoma_1.3","mActinoma_1.3"
"Actinoma2","Actinoma_2.1","mActinoma_2.1"
"Actinoma2","Actinoma_2.2","mActinoma_2.2"
"Actinoma2","Actinoma_2.3","mActinoma_2.3"
"NoslimII1","NoslimII1_1","mNoslimII1_1"
"NoslimII2","NoslimII2_1","mNoslimII2_1"
"Kineospor","Kineospor_1.1","mKineospor_1.1"
"Kineospor","Kineospor_1.2","mKineospor_1.2"
"Kineospor","Kineospor_1.3","mKineospor_1.3"
"Micpar","Micpar_2","mMicpar_2"
"Micpar","Micpar_4","mMicpar_4"
"Acidimicro","Acidi_1.1","mAcidi_1.1"
"Acidimicro","Acidi_1.2","mAcidi_1.2"
"Acidimicro","Acidi_1.3","mAcidi_1.3"
"Actinobacteria","PB_Actinobac1.1","mPB_Actinobac1.1"
"Actinobacteria","PB_Actinobac1.1c","mPB_Actinobac1.1c"
"Thispe","Thispe_1","mThispe_1"
"Thispe","Thispe_3","mThispe_3"
"Thieik","Thieik_1.2","mThieik_1.2"
"Thieik","Thieik_2","mThieik_2"
"Thifru","Thifru_1","mThifru_1"
"Thiunz","Thiunz_1","mThiunz_1"
