"Probename","Match","Mismatch"
"Thiunz","Thiunz_2","mThiunz_2"
"Thiniv","Thiniv_1","mThiniv_1"
"Thiniv","Thiniv_3","mThiniv_3"
"Thiram","Thiram_3","mThiram_3"
"Thiram","Thiram_4","mThiram_4"
"Thisp2","Thisp2_1","mThisp2_1"
"Thisp2","Thisp2_2","mThisp2_2"
"ThiI","ThiI_1;ThiI_2","mThiI_1;ThiI_2"
"Thiothrix","Thiothrix_1.1","mThiothrix_1.1"
"Thiothrix","Thiothrix_1.2","mThiothrix_1.2"
"Thiothrix","Thiothrix_1.3","mThiothrix_1.3"
"Sphspe","Sphspe_1","mSphspe_1"
"Sphspe","Sphspe_2","mSphspe_2"
"Sphnat","Sphnat_1","mSphnat_1"
"Eik1701","Eik1701_1","mEik1701_1"
"Eik1701","Eik1701_2","mEik1701_2"
"Acispe","Acispe","mAcispe"
"Acido","Acido_1.1","mAcido_1.1"
"Acido","Acido_1.2","mAcido_1.2"
"Acido","Acido_1.3","mAcido_1.3"
"Acido","Acido_1.4","mAcido_1.4"
"Achoxa","Achoxa","mAchoxa"
"Comamonad","Comamonad_1.1","mComamonad_1.1"
"Comamonad","Comamonad_1.2","mComamonad_1.2"
"Comamonad","Comamonad_1.3","mComamonad_1.3"
"Achromatium1","Ach_1.1","mAch_1.1"
"Achromatium1","Ach_1.2","mAch_1.2"
"Achromatium1","Ach_1.3","mAch_1.3"
"Achromatium2","Ach_2.1","mAch_2.1"
"Achromatium2","Ach_2.2","mAch_2.2"
"Achromatium2","Ach_2.3","mAch_2.3"
"Acinetobacter","Acine_1.1","mAcine_1.1"
"Acinetobacter","Acine_1.2","mAcine_1.2"
"Morols","Morosl_1","mMorosl_1"
"Morax","Morax_1.1","mMorax_1.1"
"Morax","Morax_1.2","mMorax_1.2"
"Morax","Morax_1.3","mMorax_1.3"
"Morax","Morax_2.1","mMorax_2.1"
"Morax","Morax_2.2","mMorax_2.2"
"Morax","Morax_2.3","mMorax_2.3"
"Leumuc","Leumuc_1","mLeumuc_1"
"Leumuc","Leumuc_2","mLeumuc_2"
"Begalb","Begalb_2","mBegalb_2"
"Begalb","Begalb_3","mBegalb_3"
"Begspe","Begspe_1","mBegspe_1"
"Begspe","Begspe_3","mBegspe_3"
"Begspe2","Begspe2_1","mBegspe2_1"
"Begspe2","Begspe2_2","mBegspe2_2"
"Betagammaproteo","PB_Betagammaproteo1.1","mPB_Betagammaproteo1.1"
"Betagammaproteo","PB_Betagammaproteo1.2","mPB_Betagammaproteo1.2"
"Hypden","Hypden_1","mHypden_1"
"Hypden","Hypden_2","mHypden_2"
"Hypmet","Hypmet_1","mHypmet_1"
"Hypfac","Hypfac_1","mHypfac_1"
"Hypvul","Hypvul_1","mHypvul_1"
"Hypvul","Hypvul_2","mHypvul_2"
"Hypzav","Hypzav_1","mHypzav_1"
"Hypaes","Hypaes_1","mHypaes_1"
"Hypaes","Hypaes_3","mHypaes_3"
"Hyphol","Hyphol_1","mHyphol_1"
"HyphoPedoRhodo1","HyphoPedoRhodo_1.1","mHyphoPedoRhodo_1.1"
"HyphoPedoRhodo1","HyphoPedoRhodo_1.2","mHyphoPedoRhodo_1.2"
"HyphoPedoRhodo1","HyphoPedoRhodo_1.3","mHyphoPedoRhodo_1.3"
"HyphoPedoRhodo2","HyphoPedoRhodo_2.1","mHyphoPedoRhodo_2.1"
"HyphoPedoRhodo2","HyphoPedoRhodo_2.2","mHyphoPedoRhodo_2.2"
"HyphoPedoRhodo2","HyphoPedoRhodo_2.3","mHyphoPedoRhodo_2.3"
"filGR1","filGR1_2","mfilGR1_2"
"filGR1","filGR1_3","mfilGR1_3"
"Alphaproteo1","Alphaproteo_1.1","mAlphaproteo_1.1"
"Alphaproteo1","Alphaproteo_1.2","mAlphaproteo_1.2"
"Alphaproteo1","Alphaproteo_1.3","mAlphaproteo_1.3"
"Alphaproteo2","PB_Alphaproteo1.1","mPB_Alphaproteo1.1"
"bacMK04","bakMK04_1","mbakMK04_1"
"bacMK04","bacMK04_3","mbacMK04_3"
"bacMK21","bacMK21_3","mbacMK21_3"
"bacMK21","bacMK21_4","mbacMK21_4"
"bacBS2","bacBS2_1","mbacBS2_1"
"bacBS2","bacBS2_3","mbacBS2_3"
"Halhyd","Halhyd_3","mHalhyd_3"
"Halhyd","Halhyd_9","mHalhyd_9"
"bacMK","bacMK_1","mbacMK_1"
"bacMK","bacMK_2","mbacMK_2"
"Halis","Halis_1.1","mHalis_1.1"
"Halis","Halis_1.2","mHalis_1.2"
"Halis","Halis_1.3","mHalis_1.3"
"Magbak","Magbak_2","mMagbak_2"
"Magbak","Magbak_4","mMagbak_4"
"Saprospir","Saprospir_1.1","mSaprospir_1.1"
"Saprospir","Saprospir_1.2","mSaprospir_1.2"
"Saprospir","Saprospir_1.3","mSaprospir_1.3"
"Chipin","Chipin_1","mChipin_1"
"Chipin","Chipin_2","mChipin_2"
"Flesan","Flesan_1","mFlesan_1"
"Flesan","Flesan_2","mFlesan_2"
"Chitin1","Chitin_1.1","mChitin_1.1"
"Chitin1","Chitin_1.2","mChitin_1.2"
"Chitin2","Chitin_2.1","mChitin_2.1"
"Chitin2","Chitin_2.2","mChitin_2.2"
"bacMK06","bacMK06_1","mbacMK06_1"
"bacMK06","bacMK06_5","mbacMK06_5"
"bacMK08","bacMK08_1","mbacMK08_1"
"bacMK08","bacMK08_3","mbacMK08_3"
"bacBS3","bacBS3_1","mbacBS3_1"
"bacBS3","bacBS3_3","mbacBS3_3"
"Flacol","Flacol_1","mFlacol_1"
"Berspe","Berspe_1","mBerspe_1"
"Berspe","Berspe_2","mBerspe_2"
"bacBS1","bacBS1_1","mbacBS1_1"
"bacBS1","bacBS1_2","mbacBS1_2"
"bacBA2","bacBA2_1","mbacBA2_1"
"bacBA2","bacBA2_5","mbacBA2_5"
"Flavobac1","Flavobac_1.1","mFlavobac_1.1"
"Flavobac1","Flavobac_1.2","mFlavobac_1.2"
"Flavobac2","Flavobac_2.1","mFlavobac_2.1"
"Flavobac2","Flavobac_2.2","mFlavobac_2.2"
"Flespe","Flespe_1","mFlespe_1"
"Flespe","Flespe_4","mFlespe_4"
"Flefle","Flefle_1","mFlefle_1"
"Runspe","Runspe_1","mRunspe_1"
"Runspe","Runspe_5","mRunspe_5"
"Flexibac1","Flexibac_1.1","mFlexibac_1.1"
"Flexibac1","Flexibac_1.2","mFlexibac_1.2"
"Flexibac1","Flexibac_1.3","mFlexibac_1.3"
"Flexibac2","Flexibac_2.1","mFlexibac_2.1"
"Flexibac2","Flexibac_2.2","mFlexibac_2.2"
"Flexibac2","Flexibac_2.3","mFlexibac_2.3"
"Ba240","Ba240_1","mBa240_1"
"Ba240","Ba240_4","mBa240_4"
"NoslimIII1","NoslimIII1_2","mNoslimIII1_2"
"NoslimIII1","NoslimIII1_3","mNoslimIII1_3"
"NoslimIII2","NoslimIII2_1.1","mNoslimIII2_1.1"
"NoslimIII2","NoslimIII2_2","mNoslimIII2_2"
"NoslimIII","NoslimIII_3","mNoslimIII_3"
"NoslimIII","NoslimIII_8","mNoslimIII_8"
"Isosph1","Isosph_1.1","mIsosph_1.1"
"Isosph1","Isosph_1.2","mIsosph_1.2"
"Isosph2","Isosph_2.1","mIsosph_2.1"
"Isosph2","Isosph_2.2","mIsosph_2.2"
"Planctomyc","PB_Planctomyc1.1","mPB_Planctomyc1.1"
"Planctomyc","PB_Planctomyc1.2","mPB_Planctomyc1.2"
"Planctomyc","PB_Planctomyc1.3","mPB_Planctomyc1.3"
"Planctomyc","PB_Planctomyc1.2c","mPB_Planctomyc1.2c"
"Kouaur","Kouaur_1","mKouaur_1"
"Kouaur","Kouaur_1","mKouaur_1"
"Eik1851","Eik1851_1","mEik1851_1"
"Eik1851","Eik1851_5","mEik1851_5"
"Chlspe","Chlspe_1","mChlspe_1"
"Chlspe","Chlspe_3","mChlspe_3"
"Chlspe","Chlspe_9","mChlspe_9"
"Chloroflex","Chlorofl_1.1","mChlorofl_1.1"
"Chloroflex","Chlorofl_1.2","mChlorofl_1.2"
"Chloroflex","Chlorofl_1.3","mChlorofl_1.3"
"unkno770","unkno770_1","munkno770_1"
"unkno770","unkno770_2","munkno770_2"
"unkno771","unkno771_1","munkno771_1"
"anfil","anfil_1","manfil_1"
"anfil","anfil_2","manfil_2"
"unkno774","unkno774_1","munkno774_1"
"unkno774","unkno774_5","munkno774_5"
"unkno775","unkno775_5","munkno775_5"
"unkno775","unkno775_8","munkno775_8"
"unkno602","unkno602_1","munkno602_1"
"unkno602","unkno602_2","munkno602_2"
"Thermomic1","Thermomic_1.1","mThermomic_1.1"
"Thermomic1","Thermomic_1.2","mThermomic_1.2"
"Thermomic1","Thermomic_1.3","mThermomic_1.3"
"Thermomic2","Thermomic_2.1","mThermomic_2.1"
"Thermomic2","Thermomic_2.2","mThermomic_2.2"
"Thermomic2","Thermomic_2.3","mThermomic_2.3"
"Thedex","Thedex_2.2","mThedex_2.2"
"Thedex","Thedex_6","mThedex_6"
"Thermoto","Thermoto_1.1","mThermoto_1.1"
"Thermoto","Thermoto_1.2","mThermoto_1.2"
"Thermoto","Thermoto_1.3","mThermoto_1.3"
"NoslimI","NoslimI_4","mNoslimI_4"
"NoslimI","NoslimI_5","mNoslimI_5"
"Bacmol","Bacmol_1.1","mBacmol_1.1"
"Bacmol","Bacmol_1.2","mBacmol_1.2"
"Bacmol","Bacmol_1.3","mBacmol_1.3"
"Firmicutes","PB_Firmicutes1.1","mPB_Firmicutes1.1"
"Firmicutes","PB_Firmicutes1.2","mPB_Firmicutes1.2"
"Firmicutes","PB_Firmicutes1.3","mPB_Firmicutes1.3"
"Bacteria1","PB_Bacteria","mPB_Bacteria"
"Bacteria2","NONEUB_338",
